module,resource_type
ResourceGroup,azurerm_resource_group
StorageAccount,azurerm_storage_account
StorageAccount,azurerm_storage_container
Network,azurerm_virtual_network
Network,azurerm_subnet
Network,azurerm_network_interface
Network,azurerm_network_interface_security_group_association
Network,azurerm_network_security_group
Network,azurerm_network_security_rule
Network,azurerm_public_ip
Network,azurerm_network_watcher
Compute,azurerm_linux_virtual_machine
Compute,azurerm_backup_policy_vm_workload
Compute,azurerm_backup_policy_vm
Monitor,azurerm_monitor_action_group